"song","tags"
"Falling Hard","synth wave,Chillwave,80s,Synthpop,1980s,moody,Atmosphere"
"Eerie-JP","Horror,Mystery,Suspenseful,Breakbeat,Scary,90s"
"Cure-JP","synth wave,1980s,Synthpop,90s,Chill wave,80s,moody"
"Copy That","synth wave,80's,Orchestral,Emotional,90s,Dreamy"
"Army of Four","Trailer,Cinema,pumped,Orchestra,Driving,Tough,ESPN,Sports,Action,Ending Credits,End Credits"
"New Devilry R1-MG-JP","groovy upbeat,solid groove,quirky underscore,Up to Something,light hearted funky,funny environment,Beachfront Bargain Hunt"
"Flight Or Fright R1-MG-JP","shoreline tension,Tense Moment,going wrong,Troubled,problems brewing,Anxiety,Worried,high prices"
"Marching To Doom R1-MG-JP","shoreline tension,Tense Moment,going wrong,Troubled,problems brewing,Anxiety,Worried,high prices"
"Tis A Groovy Thang R1-MG-JP","groovy upbeat,solid groove,quirky underscore,Up to Something,light hearted funky,funny environment,Beachfront Bargain Hunt"
"Busted Stiletto-JP","Dark,Gritty,dirty electro,distorted synths,Badass,focused pursuit,Syfy,Science Fiction,fashionable edm,Night Life,Catwalk,Fashion show"
"Rogerio Ceni-JP","rock alternativo,rebelde,Punk Rock,Alt Rock,reflective,Rock"
"Cavalhada-JP","viola caipira,musica caipira,agronegocio,Latin,Brazilian,Laid Back"
"Lenha na Fogueira-JP","viola caipira,MPB,viola minha viola,Latin,Brazilian,Positive"
"Pulando Fogueira-JP","globo rural,moda de viola,BRAZIL,Latin,Brazilian,Laid Back"
"Feel The Tension 002-JP","Tense,Uncomfortable,Backstabbing,Attitude,Unsettling,Nervous"
"A Tardinha no Sertao-JP","viola caipira,dedilhado,melancolico,Latin,Brazilian,Positive"
"Inspired To Go On-JP","Proud,Inspired,reflective,Happy,Moving On,Overcoming"
"Upbeat And Lively-JP","Sexy,Attitude,Confident,Confidence,Urban,Strutting,Strut"
"Modinha na Viola-JP","viola caipira,cabocla,melancolico,Latin,Brazilian,reflective"
"Viva Sao Goncalo-JP","viola caipira,Fazenda,globo rural,Latin,Brazilian,Positive"
"Challenge Me-JP","Attitude,Sexy,Strut,Gossip,Light Tension,Disagreement,Urban,Struggle,Confident"
"Ready To Compete-JP","Sexy,Attitude,Confident,Confidence,Urban,Strutting,Strut"
"Aftershock-JP","Hard Rock,Cock Rock,Hair Band,80s,1980s,Extreme,Wailing guitar,Guitar Hero"
"Pass the Bottle-JP","Dark,Gritty,dirty electro,distorted synths,Badass,focused pursuit,Syfy,Science Fiction,fashionable edm,Night Life,Catwalk,Fashion show"
"Hip Hop Reality 9-JP","Tough,Proud,Ghetto,Gangsta,Inner City,Overcoming"
"Haruku-JP","Laid Back,Chill,Cool,chillax,Urban,Relaxed"
"Morotai-JP","Asian,Mysterious,Mystery,Orchestral,Orchestra,Intriguing"
"Ones And Zeros-JP","Dark,Gritty,dirty electro,distorted synths,Badass,focused pursuit,Syfy,Science Fiction,fashionable edm,Night Life,Catwalk,Fashion show"
"Happy Recap-OHM-JP","Going out,Night On The Town,happy reveal,Happy Rock,with a purpose,Moving forward,celebration rock,Success,Thankful,American Rock,Exciting,Inspirational"
"Happy Denial-OHM-JP","edm,pop electro,modern electro,Thankful,Happy,Tropical"
"Night Moves 003-JP","Electronic,electro,Cool,Pensive,Confident,introspective"
"Furry Critters-JP","Critters,la zoo,animal keepers,another day on the job,active positive,Optimistic,Light Hearted,Playful,cute animals"
"The Bells of Love Rings-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Tell Him Him and Him-JP","Overcoming,Swagger,Proud,Strut,Soulful,Synth"
"Take U Home With Me 001-JP","Sexy,Chill,Energetic,Exciting,Club,Synth"
"Take There Over There-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Fun Comedy Laugh Happy-JP","Happy,Kids,Fun,Zany,Cute,Positive"
"Summer Jam Winter Jam-JP","Sexy,Hot,Strutting,Strut,Swagger,Club"
"Stuck Unstuck-JP","Sexy,Hot,Club,Strut,Intense,Driving"
"Stripper Love Two-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Strange Kinda Love-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Stars are a Shooting-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Stadium Concerts-JP","stutting,Sports,NBA,Proud,Strut,Swagger"
"SSCCPP-JP","Fashion,Upbeat,Energetic,Fast Paced,Exciting,Runway"
"Slow Cooked Big Wings Inc-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Mo Bottles XS 3-JP","Sexy,Strut,Fashion,Hot,Excited,Energetic"
"Sicko Stories-JP","Proud,Energetic,Exciting,NBA,Basketball,Crowd"
"Shawty Im ATL-JP","Sexy,Chill,Proud,Strut,Soulful,Relaxed"
"Ride With Me Tonight-JP","Sexy,Flashy,Fashion,Hot,Energetic,Teen"
"Register Early-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Rainy Nights Sunny Days-JP","Sexy,Chill,Sensual,Laid Back,Relaxed,Chilling,vibe"
"Pick It Up Then Drop It-JP","Trap,Southern,Dirty South,Atlanta,Troubling,Tough"
"One Moombahton-JP","Nightclub,Club,Exciting,Energetic,Energy,High Energy"
"No Shirt Three-JP","Sexy,Chill,Proud,Strut,Soulful,Synth,Playful"
"Night Owl Who Who-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Ney Ney Ney-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"My No One Again-JP","Sexy,Fashion,Runway,Strut,Swagger,Sleek"
"Monumental Moments-JP","stomping,Proud,Triumphant,Winner,Sports,NBA"
"Long Version Short Version-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Love On Sunday Love On Monday-JP","Flashy,Club,Pumped Up,Excited,ecstatic,Fashion"
"Love Me Love You-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Live For Your Dream Two-JP","Swagger,Chill,Proud,Strut,Soulful,Organ"
"Kindasorta Two Four Six-JP","Excited,Basketball,Proud,Strut,Soulful,Hot,NBA,Brass,Swagger"
"Something Good 001-JP","Celebration,happy build,Big Reveal,Success,victory story,joyous rock,Positive,Wedding,the right dress,perfect fit"
"Follow Your Heart 001-JP","Celebration,happy build,Big Reveal,Success,victory story,joyous rock,Positive,Wedding,the right dress,perfect fit"
"Athens Sound-JP","Celebration,happy build,Big Reveal,Success,victory story,joyous rock,Positive,Wedding,the right dress,perfect fit"
"July Baby-JP","Gentle,Relaxed,Lullaby,Sweet,singer songwriter,Folksy"
"Joint Is Jumpin-JP","Sports,Highlights,Sports Center,ESPN,NFL,NBA,Electronica,Electronic Rock"
"It All Begins Now-JP","Soaring,Heroic,Fallen Soldier,Heavenly,Epic,Lord of the Rings,Game of Thrones"
"Intruder 002-JP","active,Stinger,Sting,Funk,Funky,Jammy"
"Intruder Chase-JP","Fast,Percussion,Exciting,Energetic,Chase,Stuntman,Wes Anderson,Woody Allen,old school chase,Detective,Rushmore"
"Into The Light 004-JP","Tragic,Slow,Moving,Emotional,Heroic,Death"
"In the Trophy Room-JP","Horror,magical,Adventurous,Jungle,Scary,Alien,American Horror Story,Outer Space,Psycho,Halloween"
"I Love You Too Gabe-JP","Sweet,Lullaby,Slow,Gentle,Drama,Thinking,Minimalist"
"Hot Sauce Electric Bumpers-JP","Relaxed,60s,1960s,Psychedelic,noodling,Laid Back"
"Christmas Love Full-JP","Happy,cheerful,Upbeat,Fun,Holidays,Christmas"
"Regal And Proud Full-JP","Proud,Triumphant,Winner,Winning,Sports,Olympics,regal"
"Perpetual Symmetric Motion-JP","Determined,Quick,Bright,hopeful,Corporate,Driving"
"Cricking Around-JP","Critters,la zoo,animal keepers,another day on the job,active positive,Optimistic,Light Hearted,Playful,cute animals"
"Tabletop-JP","Dark,Gritty,dirty electro,distorted synths,Badass,focused pursuit,Syfy,Science Fiction,fashionable edm,Night Life,Catwalk,Fashion show"
"Just Keep It Coming and Coming-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Juke Box Music-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Its Hotter Than Its Ever Been-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"I Learned To Take Flight-JP","Overcoming,Hardship,Proud,Triumphant,Soulful,Determined"
"I Founded You Twice-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Hop Dutty Hop-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Hands On Me Hands On You-JP","Sexy,Club,Hot,Dance,clubby,Clubbing"
"Hand Up Hand Down-JP","Sexy,Hot,Club,Fashion,Sex,Sweaty"
"Girl U Make Me Crazy-JP","Excited,Exciting,Building,Euphoric,ecstatic,Energy"
"Forever Anthem Again-JP","Sexy,Chill,Proud,Laid Back,Soulful,Piano"
"For Libre For Libre-JP","Sexy,Exciting,Energetic,Energy,Olympics,Reggaeton beat"
"Fly Away Sail Away-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Flash Dancing-JP","Sexy,Club,Hot,Fashion,Strutting,turned up"
"Fallin Upward-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Do Who Do-JP","Sexy,Chill,Proud,Strut,Tough,Synth,Flashy,Fashion"
"Da King of Kings 2-JP","Tough,Trap,Proud,Strut,Basketball,NBA"
"Da King of Kings 1-JP","Tough,baller,Proud,Strut,hard knock,Hard Core"
"Colaboration R&B vs Rap-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Close My Eyes Tight-JP","Inspiring,Inspired,Triumphant,Happy,Building,Explosive"
"Clear Mornings Forever-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Chill Dance Chill-JP","Sexy,Flashy,baller,Strut,Fashion,Synth"
"Can you Honestly Believe This-JP","Sexy,Strutting,Proud,Strut,Tough,Trap"
"Boom Cat Boom-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Beat to the Night-JP","Sexy,Chill,Laid Back,Gentle,Soulful,Rhodes"
"Beat the Flashes-JP","Sexy,Fashion,Hot,Strut,Club,Synth"
"All Alone I Dont Wanna Dance-JP","Sexy,Chill,Proud,Strut,Soulful,Synth"
"Aaddhhdd-JP","Sexy,Fashion,Smooth,Strut,Proud,Overcoming"
"A Love Thats Kinda Different-JP","Chill,Sexy,Smooth,reflective,Relaxed,Laid Back"
"A Galaxy Far Away-JP","Sexy,Fashion,Strut,Throwback,Runway,Project Runway"
"30 Tipsy Skems-JP","Relaxed,Chill,Cool,Sexy,Laid Back,reflective"
"Modern Heavy Rock-JP","UFC,NFL,Wrestling,WWF,WWE,Extreme,Sports,Highlights"
"Winter Acoustic Guitar-JP","Relaxed,warm,Holidays,Acoustic Guitar,folk,Retro,classic folk"
"Warm Acoustic Guitar 001-JP","Relaxed,warm,Holidays,Acoustic Guitar,folk,Retro,classic folk"
"Indie Rock Pop-JP","Driving,Modern,Drive,Powerful,Forward,Moving forward"
"Hip Club Hop-JP","Hip,Strut,Chill,Swagger,Hip Hop,vibe"
"Easy Acoustic Guitar-JP","Gentle,Relaxed,Country,folk,Natural,Nature,stream,River,flowing"
"While My Piano Gently Weeps-JP","Gentle,Heavenly,Relaxed,Calm,Ethereal,atmospheric,Fantasy,Avatar"
"Devine-JP","Meditative,Ethereal,reflective,Eastern,Gentle,Calm"
"Top T-instr-JP","Urban,Chill,Laid Back,Sexy,vibing,Grooving,Flow,flowing,vibe"
"Plesantly Disturbed-JP","mentally disturbed,Disturbing,Unsettling,70s,Murder,Mystery"
"The Creepy Music Box-JP","Creepy,Chilling,Haunted House,Scary,Halloween,Haunted,American Horror Story"
"All Your Drama-JP","Calm,Relaxed,Laid Back,Chill,vibe,Chilling"
"Pop Fun Cool Groove-JP","Retro,Chill,Funky,Grooving,Groove,Throwback"
"Trimming the Christmas Tree-JP","Christmas,Classic,Upbeat,warm,cheerful,Joyful,Holidays,Shopping,Cheery,Sleigh Ride,Sleigh Bells,Snowy,santa klaus,Bright"
"Swinging Silent Night-JP","Christmas,jazz,Swing,Trio"
"Step 2 It-JP","Synthpop,Laid Back,Club,Dance,90s,Synths"
"Simple Sentimental Xmas 60-JP","Christmas,Jingle Bells,simple sentimental,Laid Back,Gentle,warm"
"Sexy 70s-JP","Soulful,Sexy,Sensual,Retro,Sexy Sax,Saxophone,porno,60s,70s"
"Santas and Elves in Workshop-JP","Christmas,Classic,Holiday,warm,Sleigh Ride,cheerful,Adventurous"
"Nice n Easy-JP","cheerful,Quirky,Orchestral,Upbeat,Light,Plucked"
"Home For Christmas 003-JP","Christmas,Classic,Holiday,warm,Shopping,Holidays,Happy,Home Alone,cheerful"
"Gone Fishin-JP","Laid Back,Acoustic,folk,Fingerpicking,Relaxed,Gentle"
"Four on the Floor 001-JP","Synthpop,Dance,Upbeat,Club,Building,Urban"
"Deck the Swingin Halls-JP","Christmas,jazz,Swing,Upbeat,Charlie Brown,The Peanuts,warm,Holidays,Classy,Fancy,Woody Allen,Jazzy"
"Danger Dance-JP","Synthpop,dance electronica,Club,Reggaeton,Beat,Electronic"
"Armies of the South-JP","Adventure,Mystery,Drama,Building,Adventurous,Planet,Nature,Planet Earth,Avatar,Lord of the Rings,Game of Thrones,Magnificent,sorcery"
"American Morning-JP","Americana,Chamber,Somber,reflective,magical,Heroic"
"A Punky Christmas-JP","Christmas,Upbeat,Rock,Punk,Synth,Cheesy,We Wish You A Merry Christmas,Synthesizers"
"Your Side 001-JP","90s,Grunge,Dramatic,Edgy,Tough,1990s"
"Find Me 001-JP","Grunge,Powerful,Driving,Rock,90s,1990s"
"Trust To Hope-instr-JP","Sentimental,Sweet,Tragic,Melancholic,Drama,Soap Opera"
"Broadripple-instr-JP","Hip Hop,Cinematic,Suspense,Proud,Tough,Swagger"
"Lick A Lolly-JP","pop edm,happy electronica,Fashion Week,Fashionable,Fashion show,Catwalk,super models,Project Runway,Glamorous,Dance Pop,cool night club,hot and sweaty pop,mainstage edm,ultra music,tomorrowland festival"
"Brangelina Cotilliard-JP","pop edm,happy electronica,Fashion Week,Fashionable,Fashion show,Catwalk,super models,Project Runway,Glamorous,Dance Pop,cool night club,hot and sweaty pop,mainstage edm,ultra music,tomorrowland festival"
"That Girl-instr 001-JP","Bar,Fun,90s,Rock,Rock n Roll,Classic"
"Unexplainable Movement-JP","Fast,Sneaky,Thief,spy vs spy,Spy,Horror,American Horror Story"
"The Melancholy Cafe-JP","Dark,Mysterious,Mystery,Scary,American Horror Story,Horror"
"Romantic Nights-JP","Piano,Film Noir,swept up,Romantic,New York City,New York"
"Breaking Down Walls-JP","Determined,Symphonic rock,Electronic Rock,Driving,Technology,Proud"
"Crashing Through-JP","Driving,Hooky,Hook,Electric Guitar,driven,Determined"
"Atmospheric Guitar Bed-JP","atmospheric,Cinematic,Emotional,Building,Guitars,Reverb,Momentous"
"Orchestral Hip Hop-JP","Epic,symphonic,Orchestral,fusion,Breakbeat,Industrial"
"Into the Night 009-JP","Edgy,Industrial,edm,Tough,Intense,Techy,Action"
"Love So Hurts-JP","Sad,Lonely,Tragic,Heartbroken,Melancholic,Depressed"
"Erotic Passions-JP","Mystery,Mysterious,Middle Eastern,CSI,American,Crime,David Lynch"
"Christmas Tree Memories-JP","Melancholic,Film Noir,Drama,Sad,Lonely,Christmas,Depressed"
"Christmas Came Upon Us-JP","Mystery,christmas horror,Scary,christmas scary,tragic christmas,Unsettling"
"Chasing the Dark Mind-JP","Scary,Thriller,Chilling,Horror,Scared,Creepy"
"Your Own Doing-OHM-JP","having a baby,Thankful,groove underbed,reality bed,Groove,Chill"
"Jolly Jumper-OHM-JP","Going out,Night On The Town,happy reveal,Happy Rock,with a purpose,Moving forward,celebration rock,Success,Thankful,American Rock,Exciting,Inspirational"
"Broken Latch-OHM-JP","Modern Hip Hop,trappy vibes,Tense Moment,dark and gritty,Urban,Hood"
"Code Red Instr-JP","Tough,Strut,Proud,Gangsta,Ghetto,baller"
"Into The Light 005-JP","Serious,Drama,Thinking,Pensive,hopeful,Thoughtful"
"Partay-JP","pop edm,happy electronica,Fashion Week,Fashionable,Fashion show,Catwalk,super models,Project Runway,Glamorous,Dance Pop,cool night club,hot and sweaty pop,mainstage edm,ultra music,tomorrowland festival"
"By My Side 003-JP","Epic,Rap,Hip Hop,Proud,Overcoming,Struggle"
"Major Keys-JP","Rap,Hip Hop,Proud,Overcoming,Struggle,Tough"
"Still Wanna-JP","Sexy,Sensual,Hip Hop,Proud,Overcoming,Struggle"
"Kanye N Tupac Go to Africa-JP","Epic,Rap,Hip Hop,Proud,Overcoming,Struggle"
"Blvck Cloud-JP","Epic,Rap,Hip Hop,Proud,Overcoming,Struggle"
"Single For You-JP","Happy,Content,Pop,Overcoming,Proud,Acoustic Guitar"
"Dirty Money 002-JP","Epic,Rap,Hip Hop,Proud,Overcoming,Struggle"
"For My Queen-JP","laid  back,Chill,Cool,Grooving,Sexy,Sensual"
"Super Fire-JP","Epic,Rap,Hip Hop,Proud,Overcoming,Struggle"
"Its Gonne Be OK-JP","Light,Laid Back,folky,warm,Family,stomping"
"Enswell instr-JP","Anthemic,stomping,Epic,Indie,Indie Rock,Pop,Inspired,Inspirational"
"JPC-Intercontinental-JP","Top 40,2016 pop music,Celebratory,bright synths,Dancefloor,Late Nights,party atmosphere,Summer Anthem,sexy rhythms"
"The Concrete Riverbed-MG-JP","beachfront,ocean side,Tropical,Breezy,Vacation,Paradise,Thankful,Optimistic"
"Force Feed-OHM-JP","Modern Hip Hop,trappy vibes,Tense Moment,dark and gritty,Urban,Hood"
"Te Guardo Comigo-JP","sertanejo,Romantico,Love,Latin,Brazilian,Sentimental"
"Seu Eterno Namorado-JP","sertanejo,Romantico,arrocha,Latin,Brazilian,Sentimental"
"O que restou de mim sofrencia-JP","Sertanejo Universitario,sofrencia,arrocha,Latin,Brazilian,Sentimental"
"Country Road 001-JP","Cowboy,Country,Pop Rock,Pop,Sentimental"
"Chegou o FIm de Semana-JP","Sertanejo Universitario,rodeio,vila country,Latin,Brazilian,Laid Back"
"Ainda lembro do seu beijo-JP","Romantico,sertanejo,vila country,Latin,Brazilian,Sentimental"
"Never Parting-JP","Celebration,happy build,Big Reveal,Success,victory story,joyous rock,Positive,Wedding,the right dress,perfect fit"
"Almost Ethos-JP","Critters,la zoo,animal keepers,another day on the job,active positive,Optimistic,Light Hearted,Playful,cute animals"
"JPC-Rave All Night-JP","Top 40,2016 pop music,Celebratory,bright synths,Dancefloor,Late Nights,party atmosphere,Summer Anthem,sexy rhythms,Fashion Week,Project Runway,Next Top Model"
"Lloyds Debut-JP","Retro,Strut,Minimalist,Cool,Funky,Funk,Chill,Confident"
"Pog Me-JP","Natural,Appalachian,American,irish american,Irish,Traditional,Cheery,cheerful,st patricks day"
"Boffo Boyo-JP","pop edm,happy electronica,Fashion Week,Fashionable,Fashion show,Catwalk,super models,Project Runway,Glamorous,Dance Pop,cool night club,hot and sweaty pop,mainstage edm,ultra music,tomorrowland festival"
"Final Offer-MG-JP","shoreline tension,Tense Moment,going wrong,Troubled,problems brewing,Anxiety,Worried,high prices"
"Scandalous-instr-JP","Piano,Snap,Trap,808,Attitude,Laid Back,Light Tension,baller"
"Pinball Hero-JP","Sexy,hip hop underscore,geeking out,reality bed,laid back hip hop,classic vibes,Plucky,Quirky"
"Stay Positive-MG-JP","beachfront,ocean side,Tropical,Breezy,Vacation,Paradise,Thankful,Optimistic"
"Make It Clear-MG-JP","beachfront,ocean side,Tropical,Breezy,Vacation,Paradise,Thankful,Optimistic"
"Pray Together V2-JP","Dark Dramatic,dark motives,criminal activities,Sinsister,Murderous,moving documentary,Resolution,montage soundtrack,deathly encounters"
"JPC-Hard to Tell-JP","Top 40,2016 pop music,Celebratory,bright synths,Dancefloor,Late Nights,party atmosphere,Summer Anthem,sexy rhythms"
"EDM Pop Fun Teen Girls-JP","Pop,Teen,edm,Happy,hopeful,Morning,Building,Waking Up"
"Hardly Moonwalking at All-MG-JP","beachfront,ocean side,Tropical,Breezy,Vacation,Paradise,Thankful,Optimistic"
"Madam Brimstone-MG-JP","beachfront,ocean side,Tropical,Breezy,Vacation,Paradise,Thankful,Optimistic"
"The Internet Always Wins-MG-JP","beachfront,ocean side,Tropical,Breezy,Vacation,Paradise,Thankful,Optimistic"
"Stuck on the Swatches-MG-JP","shoreline tension,Tense Moment,going wrong,Troubled,problems brewing,Anxiety,Worried,high prices"
"Gum Breaker-OHM-JP","edm,pop electro,modern electro,Thankful,Happy,Tropical"
"Go With The Flow-MG-JP","beachfront,ocean side,Tropical,Breezy,Vacation,Paradise,Thankful,Optimistic"
"Just the Beginning 001-JP","Celebration,happy build,Big Reveal,Success,victory story,joyous rock,Positive,Wedding,the right dress,perfect fit"
"JPC-Hermit Crab V2-JP","Silly,Quirky,Goofy,Light Hearted,Playful,comedic bed,Carefree,Clumsy,Desperate Housewives"
"Out For A Rip-JP","Critters,la zoo,animal keepers,another day on the job,active positive,Optimistic,Light Hearted,Playful,cute animals"
"To Dance-JP","Waltz,waltzing,Troubled,Feel Good,Piano,Heartfelt"
"Who is Born To Be Hanged Shall Never Be Drowned-JP","emocional,trilha sonora,Drama,Classical,Film Soundtrack,Aggressive"
"Where Am I 001-JP","Suspense,abertura,Industrial,Electronica,Experimental,Ambient"
"What is That 001-JP","Trailer,Crescendo,eletronic,Classical,Film Soundtrack,Aggressive"
"We Lost Her-JP","Action,Trailer,Epic,Classical,Film Soundtrack,Aggressive"
"Turn of Events 001-JP","emocional,Trailer,Drama,Classical,Film Soundtrack,Melancholic"
"The Siren-JP","file x-files,Suspense,Dark,Electronica,Industrial,Ambient,X-Files"
"The People 001-JP","Mystery,Suspense,file x-files,Electronica,Industrial,Ambient,X-Files"
"The Delegate-JP","Dark,Mystery,Suspense,Classical,Film Soundtrack,Aggressive"
"Tempestade-JP","Action,Marvel,Steven Spielberg,Classical,Film Soundtrack,Aggressive"
"Solitude 005-JP","Romantic,amelie poulain,jean pierre jeunet,World,Spanish,Sentimental"
"Slow Perception of Time-JP","Fantasy,Harry Potter,Mistery,Classical,Film Soundtrack,Sentimental"
"Resiliencia-JP","emocional,Suspense,Crescendo,Classical,Film Soundtrack,Dramatic"
"Primeiro Ataque-JP","Action,Crescendo,Marvel,Aggressive,Classical,Film Soundtrack"
"On Our Tales-JP","Tension,Epic,War,Classical,Film Soundtrack,Dramatic"
"Odd Revelations-JP","Mistery,Suspense,Drama,Classical,Film Soundtrack,Dramatic"
"Menacing Thoughts-JP","Suspense,vilao,Ghost,Classical,Film Soundtrack,Dramatic"
"Lonely Society-JP","Drama,Fantasy,Disney,Classical,Film Soundtrack,Sentimental"
"Little Dragon-JP","Japan,Anime,Dragon,Classical,Film Soundtrack,Laid Back"
"Lilys Escape-JP","perseguicao,Action,Marvel,Classical,Film Soundtrack,Aggressive"
"Hold Your Breath 004-JP","Sci Fi,Suspense,Terror,Classical,Film Soundtrack,Aggressive"
"Fight for Life-JP","Action,Intense,perseguicao,Classical,Film Soundtrack,Aggressive"
"Far East 001-JP","Samurai,gueixa,ascestral,World,Sentimental,Slow"
"Esquadrao 51-JP","Lord of the Rings,Epic,Trailer,Classical,Film Soundtrack,Aggressive"
"East Meets West 001-JP","Tibet,Avatar,ascestral,World,Sentimental,Slow"
"Day of The People-JP","Alien,Suspense,New Age,Classical,Film Soundtrack,Melancholic"
"Carry On 004-JP","Drama,Crescendo,Epic,Classical,Film Soundtrack,Melancholic"
"Beloved Ones-JP","emocional,Sad,melancolico,Classical,Film Soundtrack,Melancholic"
"Awakening 004-JP","Tension,Suspense,Trailer,Classical,Film Soundtrack,Aggressive,Uplifting,Piano,World,Nature,atmospheric,moody,Planet Earth,Building,Friday Night Lights,Emotional"
"Asian Lullaby-JP","Avatar,Tibet,China,World,Sentimental"
"Bounce Back 002-JP","Falling in Love,Emotional,Happy,Cute,Thankful,Recovery,Sentimental,Loving"
"A Persistencia da Memoria-JP","emocional,Trailer,Dark,Classical,Film Soundtrack,Melancholic"
"The Game In Review-JP","Sports,Energetic,High Energy,Energy,Pumped Up,Triumphant"
"Let's Celebrate-JP","Club,Celebration,Pumped Up,Excited,Exciting,Energized"
"Plastic Tactics","Playful,light hearted electro,New Day,activies,staying busy,funk tasking"
"Going Green","Carefree,summer fun,Summer Vacation,Having Fun,Playful,Silly,Disney,Nickelodeon,childish funk"
"Stretch'n'Sweep-OHM-JP","edm,pop electro,modern electro,Thankful,Happy,Tropical"
"Night Games-JP","Fashion,Exciting,Energetic,Beauty,Travel,Upbeat"
"The Art of Horror Pounding-JP","Horror,Halloween,Terror,Scary,Haunted,Haunted House"
"The Art of Horror Whispers-JP","Horror,Halloween,Terror,Scary,Haunted,Haunted House"
"The Art of Horror Clanking-JP","Horror,Halloween,Terror,Scary,Haunted,Haunted House"
"The Art of Horror Pulsing-JP","Horror,Halloween,Terror,Scary,Haunted,Haunted House"
"The Art of Horror Psychological-JP","Horror,Halloween,Terror,Scary,Haunted,Haunted House"
"Things Get Better 001-JP","Teen,Happy,Energetic,American,Disney,Edgy,mmmbop"
"Lemon Sun-MG-JP","beachfront,ocean side,Tropical,Breezy,Vacation,Paradise,Thankful,Optimistic"
"Braincation V2-JP","Dark,Gritty,dirty electro,distorted synths,Badass,focused pursuit,Syfy,Science Fiction,fashionable edm,Night Life,Catwalk,Fashion show"
"Saucy Jack-MG-JP","upbeat biker rock,Motorcycles,on the hunt,friendly bikers,friendly tough guys,Restoration,Fixer Upper,On the Prowl,Roadtrip,Fun in the Sun,upbeat rock"
"Swing That Hammer-MG-JP","upbeat biker rock,Motorcycles,on the hunt,friendly bikers,friendly tough guys,Restoration,Fixer Upper,On the Prowl,Roadtrip,Fun in the Sun,upbeat rock"
"Alegria Voltou Instr-JP","Lilting,Jazzy,Light,Latin,Laid Back,Relaxed,Brazilian,Samba"
"Fun Like Always-MG-JP","beachfront,ocean side,Tropical,Breezy,Vacation,Paradise,Thankful,Optimistic"
"Tenshy Tensh-MG-JP","shoreline tension,Tense Moment,going wrong,Troubled,problems brewing,Anxiety,Worried,high prices"
"Neon Clocks-JP","Ambient,Chillwave,Chill,Synth,Relaxed,Laid Back,Hip,Hipster,portland,LA,Los Angeles,Cool"
"Glowing Dopeness-JP","Ambient,Chillwave,Chill,Synth,Relaxed,Laid Back,Hip,Hipster,portland,LA,Los Angeles,Cool"
"Made It to the End-JP","Hip Hop Bed,hip hop underscore,laid back hip hop,luxury lounge,sexy vibes,bottle service"
"Between the Beams-JP","Impending Doom,dangerous situation,creepy monsters,Syfy,science fiction tension,unleash the beast,growing concern,creepy crawlies,tense moments"
"Argento for Breakfast-JP","Impending Doom,dangerous situation,creepy monsters,Syfy,science fiction tension,unleash the beast,growing concern,creepy crawlies,tense moments"
"Disturbing the Slumber-JP","Impending Doom,dangerous situation,creepy monsters,Syfy,science fiction tension,unleash the beast,growing concern,creepy crawlies,tense moments"
"Barnabas-JP","Impending Doom,dangerous situation,creepy monsters,Syfy,science fiction tension,unleash the beast,growing concern,creepy crawlies,tense moments"
"Neverending 001-JP","pop edm,happy electronica,Fashion Week,Fashionable,Fashion show,Catwalk,super models,Project Runway,Glamorous,Dance Pop,cool night club,hot and sweaty pop,mainstage edm,ultra music,tomorrowland festival"
"Need A Nosh-JP","Sexy,hip hop underscore,geeking out,reality bed,laid back hip hop,classic vibes"
"Come On Up-MG-JP","beachfront,ocean side,Tropical,Breezy,Vacation,Paradise,Thankful,Optimistic"
"Upbeat Ukelele Full-JP","hopeful,Corporate,Sweet,Gentle,bouncy,Light"
"Downtown Rag-JP","Entertainer,rag,Ragtime,old timey,slapstick,Old"
"I Never Knew 003-JP","moody,Vocals,Vocalist,Female,Emotional,Heartfelt,Earnest,Sentimental"
"Sleepless 001-JP","moody,Vocals,Vocalist,Female,Emotional,Heartfelt,Earnest,Sentimental"
